objectId,lane,nr_frames,frame_start,frame_end,speed_mean,can_change_time,time,action,slowed,can_change
139759981247184_1624205261.8808806,1,110,2251,2360,12.156258605483012,7.339105459329095,7.2723863187897395,moveOver,,
139759854690640_1624205253.611785,4,466,1899,2367,14.39417476992279,0.0,31.22455777241833,noNeed,,
139759981636176_1624205256.5200462,4,365,2033,2397,12.83225323824089,0.0,24.285767156325367,noNeed,,
139759981190864_1624205252.9830742,4,548,1872,2428,14.709726877112688,0.0,37.095842139881604,noNeed,,
139759980942288_1624205261.9777863,4,203,2259,2461,14.096178105426038,0.0,13.477266388949792,noNeed,,
139759981633808_1624205255.5963774,4,469,1999,2492,14.01652252623208,0.0,32.89253628590222,noNeed,,
139759981299728_1624205258.2898095,4,370,2113,2523,13.841222317921737,0.0,27.354847621135715,noNeed,,
139759981326928_1624205255.1340063,4,594,1972,2569,12.996212543750595,0.0,39.831326901995176,noNeed,,
139759981029520_1624205258.311631,4,539,2107,2647,13.434092728252505,0.0,36.02833589125192,noNeed,,
139759981654800_1624205259.7781854,4,508,2170,2680,13.747957971042563,0.0,34.026761675071256,noNeed,,
139759981157520_1624205264.397939,4,363,2361,2725,12.93557121672693,0.0,24.285767156325367,noNeed,,
139759854634640_1624205262.5238729,4,499,2276,2818,12.831123644457241,0.0,36.16177417233063,noNeed,,
139759981414736_1624205268.5603507,4,321,2514,2839,12.511215547843545,0.0,21.683720675290505,noNeed,,
139759981155344_1624205269.6896956,4,241,2625,2902,14.331087057361968,0.0,18.481201929401447,noNeed,,
139759981000464_1624205273.9401364,4,227,2718,2944,13.237052861540752,0.0,15.078525761894321,noNeed,,
139759980942160_1624205264.397901,4,628,2353,2981,11.916921644663034,0.0,41.899620258715196,noNeed,,
139759981056272_1624205267.9060698,4,539,2493,3032,11.474740771664756,0.0,35.961616750712565,noNeed,,
139759981188432_1624205260.8237982,4,677,2209,3063,12.391979422122665,0.0,56.978146020609515,noNeed,,
139759981326736_1624205267.9615855,4,612,2496,3107,12.578937991293628,0.0,40.76539486954616,noNeed,,
139759981247120_1624205272.7467053,4,342,2681,3140,12.653134363653503,0.0,30.624085507564132,noNeed,,
139759981109904_1624205275.271113,1,177,2940,3142,14.351762209060004,11.809287875465907,13.477266388949792,moveOver,,
139759854690512_1624205268.5909333,4,655,2515,3184,11.281013900694278,0.0,44.63510502082877,noNeed,,
139759854690448_1624205278.1622605,4,273,2914,3211,12.936440675789148,0.0,19.815584740188555,noNeed,,
139759854605776_1624205275.2915745,4,447,2784,3237,13.757627475255273,0.0,30.223770664328,noNeed,,
139759981523664_1624205285.3345532,2,15,3243,3288,21.316434140617833,1.000787108090331,3.0023613242709932,noMoveOver,,0.0
139759981607120_1624205278.9762642,4,329,2970,3300,12.066500041476356,0.0,22.017316377987285,noNeed,,
139759981002640_1624205281.277004,4,287,3051,3341,14.073200063694244,0.0,19.34855075641307,noNeed,,
139759981270160_1624205286.84909,4,60,3309,3368,12.010772444709463,0.0,3.9364292918219688,noNeed,,
139759981138896_1624205280.460603,4,379,3014,3392,12.34375578573119,0.0,25.219835123876344,noNeed,,
139759981656848_1624205276.1776605,4,598,2827,3426,13.06159800619237,0.0,39.96476518307389,noNeed,,
139759981112016_1624205278.5642369,4,567,2930,3496,13.172370284475328,0.0,37.76303354527516,noNeed,,
139759981414672_1624205290.005874,4,76,3469,3544,16.967705002086042,0.0,5.003935540451655,noNeed,,
139759981029456_1624205284.8394682,4,313,3210,3596,15.423354907938897,0.0,25.753588248191186,noNeed,,
139759981391760_1624205286.1077878,4,247,3279,3633,15.32630291773829,0.0,23.618575750931814,noNeed,,
139759854744464_1624205290.0422778,4,185,3468,3657,14.216396423371469,0.0,12.609917561938172,noNeed,,
139759981155408_1624205285.1104827,4,429,3222,3682,13.580427521716697,0.0,30.690804648103487,noNeed,,
139759981526160_1624205283.3247306,4,575,3138,3712,13.007155554258654,0.0,38.296786669590006,noNeed,,
139759981633872_1624205284.2403688,4,593,3179,3771,12.902270024283942,0.0,39.4977311992984,noNeed,,
139759854719504_1624205289.0716898,4,473,3414,3888,12.982868829674171,0.0,31.624872615654464,noNeed,,
139759981467408_1624205291.598206,4,179,3550,3944,14.430545807233978,0.0,26.28734137250603,noNeed,,
139759981605008_1624205290.743478,4,341,3508,3948,13.270643102200225,0.0,29.35642183731638,noNeed,,
139759981087248_1624205297.4029293,4,68,3863,3954,14.68981950056938,0.0,6.071441789081342,noNeed,,
139759854607952_1624205290.0239303,4,510,3468,3998,14.04389673145739,0.0,35.36114448585837,noNeed,,
139759981056400_1624205290.6304991,4,543,3501,4050,13.426021133262278,0.0,36.62880815610612,noNeed,,
139759980917200_1624205291.6200888,4,483,3567,4079,14.036391265571414,0.0,34.16019995614997,noNeed,,
139759854667728_1624205293.2141666,4,294,3642,4111,13.19379444709578,0.0,31.291276912957684,noNeed,,
139759981002704_1624205294.703413,4,341,3709,4128,14.359775692913578,0.0,27.955319885989915,noNeed,,
139759981654864_1624205302.063541,4,70,4082,4154,14.598558477549298,0.0,4.8037781188335895,noNeed,,
139759854636880_1624205294.7692504,4,385,3728,4165,13.691670529813459,0.0,29.156264415698313,noNeed,,
139759854278160_1624205300.983438,4,157,4031,4187,13.993156605113027,0.0,10.408185924139444,noNeed,,
139759981656784_1624205300.9833946,4,192,4031,4222,13.643361124497586,0.0,12.743355843016882,noNeed,,
139759981494352_1624205293.925435,4,600,3668,4267,12.626652849804195,0.0,39.96476518307389,noNeed,,
139759854721808_1624205305.6122367,2,20,4246,4274,13.947624859062444,1.334382810787108,1.8681359351019513,moveOver,,
139759981217808_1624205306.2162046,4,52,4264,4317,18.279560605169195,0.0,3.5361144485858365,noNeed,,
139759981582096_1624205304.3677356,4,166,4177,4342,14.911571261326472,0.0,11.008658188993643,noNeed,,
139759981496592_1624205307.470143,4,90,4325,4429,14.627755075612775,0.0,6.938790616092962,noNeed,,
139759981329040_1624205297.0644398,4,557,3839,4456,17.354580880718107,0.0,41.16570971278229,noNeed,,
139759980944656_1624205308.6885817,4,139,4377,4522,13.426167762419524,0.0,9.674275378206534,noNeed,,
